Flight Number,Origin of Flight,Origin Time,Arrival Time,Airlines
AI - 543,Hyderabad,09:45,12:20,Air India
SG - 192,Bengaluru,09:30,12:20,SpiceJet
AC - 6425,Hyderabad,09:45,12:20,Air Canada
JL - 5286,Hyderabad,10:10,12:25,JAL
6E - 249,Patna,10:30,12:25,IndiGo
BA - 5874,Hyderabad,10:10,12:25,British Airways
UK* - 830,Hyderabad,10:10,12:25,Vistara
SQ - 4714,Hyderabad,10:10,12:25,Singapore Airlines
MI - 5206,Hyderabad,10:10,12:25,SilkAir
AI - 9640,Bathinda,11:05,12:30,Air India
CD - 640,Bathinda,11:05,12:30,Alliance Air
6E - 6966,Hyderabad,10:05,12:30,IndiGo
UK* - 812,Bengaluru,09:45,12:35,Vistara
MI - 5207,Bengaluru,09:45,12:35,SilkAir
SQ - 4716,Bengaluru,09:45,12:35,Singapore Airlines
SG - 8769,Kishangarh,11:30,12:35,SpiceJet
JL - 5190,Ahmedabad,10:55,12:40,JAL
UK* - 994,Mumbai,10:25,12:40,Vistara
SQ - 4748,Mumbai,10:25,12:40,Singapore Airlines
UK* - 976,Ahmedabad,10:55,12:40,Vistara
BA - 5822,Ahmedabad,10:55,12:40,British Airways
6E - 2554,Srinagar,10:55,12:40,IndiGo
SQ - 4776,Ahmedabad,10:55,12:40,Singapore Airlines
AI - 505,Bengaluru,10:00,12:45,Air India
AC - 6419,Bengaluru,10:00,12:45,Air Canada
G8 - 424,Hyderabad,10:25,12:45,GoAir
SG - 478,Shirdi,10:55,12:50,SpiceJet
G8 - 129,Srinagar,11:10,12:50,GoAir
BA - 5866,Kochi,09:50,12:55,British Airways
UU - 7982,Chennai,09:55,12:55,Air Austral
UK* - 882,Kochi,09:50,12:55,Vistara
AI - 430,Chennai,09:55,12:55,Air India
SQ - 4762,Kochi,09:50,12:55,Singapore Airlines
AI - 21,Kolkata,10:25,12:55,Air India
MI - 5238,Kochi,09:50,12:55,SilkAir
AC - 6423,Kolkata,10:25,12:55,Air Canada
G8 - 220,Leh,11:20,13:00,GoAir
AI - 828,Srinagar,11:30,13:00,Air India
6E - 2943,Bengaluru,10:10,13:00,IndiGo
6E - 298,Mumbai,10:50,13:05,IndiGo
6E - 2409,Raipur,11:05,13:05,IndiGo
6E - 842,Chandigarh,12:05,13:10,IndiGo
G8 - 174,Pune,10:45,13:10,GoAir
K4 - 248,Hong Kong,09:40,13:15,Kalitta Air
6E - 138,Gorakhpur,11:40,13:15,IndiGo
AI - 511,Kochi,10:00,13:15,Air India
G8 - 146,Ranchi,11:15,13:15,GoAir
6E - 679,Dehra Dun,12:20,13:15,IndiGo
6E - 2108,Bengaluru,10:20,13:20,IndiGo
AI - 446,Leh,11:55,13:30,Air India
6E - 2044,Ahmedabad,12:00,13:30,IndiGo
FG - 311,Kandahar,10:30,13:30,Ariana Afghan Airlines
SG - 124,Leh,12:00,13:30,SpiceJet
WY - 245,Muscat,09:00,13:35,Oman Air
6E - 2325,Patna,11:55,13:40,IndiGo
6E - 2032,Bengaluru,10:55,13:45,IndiGo
6E - 2487,Chennai,10:50,13:45,IndiGo
I5* - 745,Ranchi,11:45,13:50,AirAsia India
I5* - 741,Bengaluru,11:05,13:55,AirAsia India
SG - 2746,Kanpur,12:30,13:55,SpiceJet
AI - 464,Chandigarh,12:45,13:55,Air India
SG - 939,Srinagar,12:35,14:00,SpiceJet
6E - 2038,Allahabad,12:50,14:05,IndiGo
6E - 614,Guwahati,11:20,14:05,IndiGo
AI - 826,Srinagar,12:25,14:05,Air India
SQ - 4746,Bengaluru,11:30,14:10,Singapore Airlines
SQ - 4710,Mumbai,11:55,14:10,Singapore Airlines
JL - 5192,Bengaluru,11:30,14:10,JAL
BA - 5838,Bengaluru,11:30,14:10,British Airways
6E - 845,Hyderabad,11:45,14:10,IndiGo
MI - 5226,Bengaluru,11:30,14:10,SilkAir
UK* - 816,Bengaluru,11:30,14:10,Vistara
UK* - 960,Mumbai,11:55,14:10,Vistara
JL - 5182,Mumbai,11:55,14:10,JAL
SG - 8904,Vishakhapatnam,11:55,14:15,SpiceJet
AI - 126,Chicago,12:00,14:15,Air India
CD - 614,Jammu,12:30,14:15,Alliance Air
AI - 9614,Jammu,12:30,14:15,Air India
6E - 2027,Vadodara,12:35,14:20,IndiGo
G8 - 465,Mumbai,12:10,14:20,GoAir
6E - 985,Coimbatore,11:25,14:25,IndiGo
AI - 492,Jaipur,13:30,14:25,Air India
6E - 6488,Kolkata,12:00,14:25,IndiGo
UL - 3600,Jaipur,13:30,14:25,SriLankan Airlines
ET - 1768,Jaipur,13:30,14:25,Ethiopian Airlines
G8 - 120,Bengaluru,11:40,14:30,GoAir
SG - 90,Bangkok,11:10,14:30,SpiceJet
SG - 8476,Gorakhpur,13:25,14:30,SpiceJet
AI - 486,Port Blair,10:50,14:35,Air India
UL - 3616,Patna,12:50,14:35,SriLankan Airlines
AI - 410,Patna,12:50,14:35,Air India
6E - 1836,Abu Dhabi,09:20,14:40,IndiGo
SG - 8212,Goa,12:05,14:40,SpiceJet
6E - 2646,Bagdogra,12:30,14:45,IndiGo
6E - 134,Nagpur,13:00,14:45,IndiGo
EK - 516,Dubai,09:30,14:50,Emirates
SG - 161,Jammu,13:25,14:55,SpiceJet
I5* - 768,Bagdogra,12:45,14:55,AirAsia India
G8 - 269,Lucknow,13:40,14:55,GoAir
AI - 9714,Dharamsala,13:05,15:00,Air India
6E - 168,Mumbai,12:50,15:00,IndiGo
SQ - 4722,Goa,12:25,15:00,Singapore Airlines
UK* - 856,Goa,12:25,15:00,Vistara
CD - 714,Dharamsala,13:05,15:00,Alliance Air
6E - 653,Jammu,13:35,15:05,IndiGo
I5* - 315,Mumbai,12:55,15:05,AirAsia India
CD - 816,Pantnagar,14:10,15:10,Alliance Air
AI - 412,Lucknow,14:05,15:10,Air India
6E - 755,Dehra Dun,14:15,15:10,IndiGo
